Name, Team, Opponents, Date, Ground, Innings, Balls, Maidens, Runs, Wickets
C Blythe, Kent, Northamptonshire, 30 May 1907, County Ground  Northampton, 1, 96, 7, 30, 10
JS Heap, Lancashire, Northamptonshire, 4 August 1910, County Ground  Northampton, 2, 108, 6, 43, 9
GE Tribe, Northamptonshire, Worcestershire, 26 July 1958, County Ground  Northampton, 2, 128, 9, 43, 9
C Blythe, Kent, Northamptonshire, 24 May 1909, County Ground  Northampton, 2, 109, 3, 44, 9
CWL Parker, Gloucestershire, Northamptonshire, 18 June 1927, County Ground  Northampton, 2, 167, 15, 46, 9
RI Keogh, Northamptonshire, Glamorgan, 31 August 2016, County Ground  Northampton, 1, 113, 3, 52, 9
GJ Thompson, Northamptonshire, Derbyshire, 28 June 1906, County Ground  Northampton, 2, 100, 2, 64, 9
MM Betts, Durham, Northamptonshire, 27 August 1997, County Ground  Northampton, 1, 132, 7, 64, 9
RK Kleinveldt, Northamptonshire, Nottinghamshire, 19 September 2017, County Ground  Northampton, 1, 146, 6, 65, 9
GE Tribe, Northamptonshire, Yorkshire, 2 July 1958, County Ground  Northampton, 2, 86, 10, 9, 8
AP Freeman, Kent, Northamptonshire, 28 May 1921, County Ground  Northampton, 1, 82, 3, 22, 8
JDF Larter, Northamptonshire, Somerset, 16 June 1965, County Ground  Northampton, 2, 80, 5, 28, 8
DS Steele, Northamptonshire, Lancashire, 14 May 1966, County Ground  Northampton, 2, 139, 11, 29, 8
JA Newman, Hampshire, Northamptonshire, 15 May 1926, County Ground  Northampton, 2, 49, 3, 30, 8
H Howell, Warwickshire, Northamptonshire, 17 June 1922, County Ground  Northampton, 1, 96, 7, 31, 8
LW Cook, Lancashire, Northamptonshire, 15 May 1911, County Ground  Northampton, 1, 108, 6, 39, 8
H Verity, Yorkshire, Northamptonshire, 29 June 1932, County Ground  Northampton, 1, 175, 13, 39, 8
BA Langford, Somerset, Northamptonshire, 26 July 1961, County Ground  Northampton, 2, 147, 9, 41, 8
RE East, Essex, Northamptonshire, 26 July 1978, County Ground  Northampton, 2, 141, 12, 41, 8
R Aspinall, Yorkshire, Northamptonshire, 23 August 1947, County Ground  Northampton, 1, 84, 4, 42, 8
J Langridge, Sussex, Northamptonshire, 13 July 1932, County Ground  Northampton, 1, 135, 7, 43, 8
TL Pritchard, Warwickshire, Northamptonshire, 12 June 1948, County Ground  Northampton, 1, 147, 5, 43, 8
HA Smith, Leicestershire, Northamptonshire, 8 June 1935, County Ground  Northampton, 1, 116, 6, 44, 8
LF Townsend, Derbyshire, Northamptonshire, 15 August 1931, County Ground  Northampton, 1, 84, 1, 45, 8
EG Dennett, Gloucestershire, Northamptonshire, 25 July 1907, County Ground  Northampton, 2, 144, 6, 46, 8
MHJ Allen, Northamptonshire, Derbyshire, 20 May 1961, County Ground  Northampton, 1, 168, 13, 48, 8
PJW Allott, Lancashire, Northamptonshire, 6 May 1981, County Ground  Northampton, 1, 153, 12, 48, 8
BJ Griffiths, Northamptonshire, Glamorgan, 4 July 1981, County Ground  Northampton, 1, 91, 3, 50, 8
TL Richmond, Nottinghamshire, Northamptonshire, 18 June 1924, County Ground  Northampton, 2, 136, 4, 56, 8
BA Hutton, Northamptonshire, Gloucestershire, 20 June 2018, County Ground  Northampton, 2, 113, 6, 57, 8
TB Mitchell, Derbyshire, Northamptonshire, 18 May 1932, County Ground  Northampton, 2, 207, 10, 62, 8
JS Savage, Leicestershire, Northamptonshire, 2 August 1958, County Ground  Northampton, 2, 182, 13, 62, 8
SJ Cook, Middlesex, Northamptonshire, 15 May 2002, County Ground  Northampton, 1, 108, 3, 63, 8
GJ Thompson, Northamptonshire, Warwickshire, 10 August 1905, County Ground  Northampton, 1, 127, 4, 65, 8
W Wells, Northamptonshire, Yorkshire, 9 May 1910, County Ground  Northampton, 2, 138, 5, 65, 8
A Buss, Sussex, Northamptonshire, 24 August 1963, County Ground  Northampton, 1, 222, 10, 65, 8
SWA Cadman, Derbyshire, Northamptonshire, 24 July 1920, County Ground  Northampton, 2, 147, 4, 70, 8
VWC Jupp, Northamptonshire, Gloucestershire, 19 May 1926, County Ground  Northampton, 2, 210, 10, 71, 8
EA McDonald, Lancashire, Northamptonshire, 10 August 1927, County Ground  Northampton, 2, 156, 7, 73, 8
BW Sanderson, Northamptonshire, Gloucestershire, 12 September 2016, County Ground  Northampton, 2, 179, 9, 73, 8
A Skelding, Leicestershire, Northamptonshire, 30 May 1925, County Ground  Northampton, 1, 188, 8, 79, 8
W Bestwick, Derbyshire, Northamptonshire, 3 August 1921, County Ground  Northampton, 1, 183, 9, 82, 8
AF Giles, Warwickshire, Northamptonshire, 14 June 2000, County Ground  Northampton, 2, 264, 17, 90, 8
W Rhodes, Yorkshire, Northamptonshire, 20 July 1911, County Ground  Northampton, 1, 228, 10, 92, 8
W Wells, Northamptonshire, Kent, 28 May 1921, County Ground  Northampton, 1, 130, 2, 94, 8
